# h2h_history.csv — Historial Head-to-Head entre selecciones
# Formato: team_a, team_b, date (YYYY-MM-DD), goals_a, goals_b, match_type, venue_name
# match_type: mundial | clasificatoria | amistoso | torneo_continental | nations_league
# Este archivo puede empezar con pocos registros y ampliarse manualmente
team_a,team_b,date,goals_a,goals_b,match_type,venue_name
Argentina,France,2022-12-18,3,3,mundial,Lusail Stadium
Brazil,Germany,2014-07-08,1,7,mundial,Estadio Mineirao
Spain,Netherlands,2014-07-13,0,1,mundial,Arena de Sao Paulo
France,Croatia,2018-07-15,4,2,mundial,Luzhniki Stadium
Argentina,Brazil,2021-07-10,1,0,torneo_continental,Estadio Mane Garrincha
France,England,2022-12-10,2,1,mundial,Al Bayt Stadium
Brazil,France,2006-07-01,0,1,mundial,Commerzbank-Arena
Germany,Argentina,2014-07-13,1,0,mundial,Estadio Jornalista Mario Filho
Spain,Germany,2010-07-07,1,0,mundial,Estadio Moses Mabhida
Italy,France,2006-07-09,1,1,mundial,Olympiastadion Berlin
Portugal,France,2022-12-10,0,1,mundial,Al Thumama Stadium
Netherlands,Argentina,2022-12-09,2,2,mundial,Lusail Stadium
England,France,2021-06-11,0,1,torneo_continental,Wembley Stadium
Colombia,Argentina,2021-07-06,1,1,torneo_continental,Estadio Mane Garrincha
Morocco,Portugal,2022-12-10,1,0,mundial,Al Thumama Stadium
Japan,Germany,2022-11-23,2,1,mundial,Khalifa International Stadium
USA,England,2022-11-25,0,0,mundial,Al Bayt Stadium
Mexico,Argentina,2010-06-27,1,3,mundial,Soccer City
Uruguay,Portugal,2010-06-29,2,1,mundial,Green Point Stadium
